timestamp,privacy_policy,project_name,coordinates,ecosystem,website_url,company_established,company_established_date,technology_count,technology_lb_cost,company_closed,company_closed_date,last_3_months_revenue,last_3_months_avg_clients,last_3_months_recurrent_clients,last_12_months_revenue,last_12_months_avg_clients,last_12_months_recurrent_clients,employees_at_start,employees_at_end,cofounders_female,employees_hired_last_3_months,employees_left_last_3_months,funding_rounds,no_funding_rounds_reason,funding_rounds_count,funding_rounds_dates,round_over,funding_rounds_capital_raised,other_accelerator,other_accelerator_count,other_accelerator_names,last_3_months_revenue_interpolated,last_3_months_avg_clients_interpolated,lat,lon
8/03/2023 19:48:45,Sí,InferIA,"38.371737597382854, -0.49787975371037096",9. Parque Científico de Alicante,https://www.inferia.io/,No,,,,,,,,,,,,,,,,,No,"Hablando en Transfiere con ciertos inversores, nos dijeron que teníamos que afinar mejor el segmento de clientes y asegurarnos qué haya gente dispuesta a compra nuestro producto, porque es algo muy innovador y no tenían claro cual sería la acogida.",,,,,No,0.0,,,,38.371737597382854,-0.49787975371037096
8/03/2023 22:42:09,Sí,EasyChatbot.net,"36.69925958831769, -4.438900826824749",3. Málaga TechPark,https://eu.easychatbot.net/,Sí,2022-02-12,16.0,0.0,No,,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,No,Todavía estamos conociendo a inversores,,,,,Sí,3.0,"['Aptenisa', 'Andalucia Open Future', 'La Brújula']",0.0,0.0,36.69925958831769,-4.438900826824749
9/03/2023 10:07:24,Sí,Doti,"40.42267390907913, -3.694825687440891",4. Fundación Parque Científico de Madrid,Www.dotiapp.es,Sí,2022-12-28,51.0,10.0,No,,0.0,1.0,0.0,,,,0.0,2.0,0.0,2.0,1.0,No,Creemos que todavía no tenemos métricas suficientes,,,,,Sí,1.0,['Programa Camaratech'],0.0,1.0,40.42267390907913,-3.694825687440891
9/03/2023 12:05:03,Sí,Bibagu,"43.29174323558417, -1.9844522881862787",1. Garaia Parque Tecnológico,www.bibagu.com,Ya estaba constituida,2022-02-02,69.0,250.0,,,,,,34700.0,4.0,4.0,4.0,5.0,0.0,1.0,0.0,Sí,,1.0,15/01/23,No,0.0,Sí,2.0,"['Bic Gipuzkoa', 'Ekin + de Fomento SS']",8675.0,1.0,43.29174323558417,-1.9844522881862787
13/03/2023 22:51:33,Sí,Click Emo ,"43.53297108026759, -5.698389273885804",10. Parque Científico Tecnológico Avilés “Isla de la Innovación”,www.clickemo.com,Sí,2023-01-02,33.0,10.0,No,,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,0.0,No,Porque la empresa es social y encaja mejor la financiación ofrecida por microbank,,,,,Sí,2.0,"['Cristasa Impulsa', 'Sherpavalley']",0.0,0.0,43.53297108026759,-5.698389273885804
20/03/2023 11:36:25,Sí,ROOM2030,"43.54775753728734, -5.916171048748921",10. Parque Científico Tecnológico Avilés “Isla de la Innovación”,https://www.room2030.com/,Ya estaba constituida,2022-10-20,62.0,0.0,,,,,,100000.0,2.0,0.0,4.0,5.0,0.0,1.0,0.0,Sí,,1.0,"30/07/22, 15/01/23",Yes,315000.0,Sí,2.0,"['La Factoria de Empresas (rural)', 'Asturex Quick Global (internacionalización)']",25000.0,0.0,43.54775753728734,-5.916171048748921
28/03/2023 0:51:22,Sí,Daos,"41.40920391433752, 2.1323134079664383",5. La Salle Technova Barcelona,artdaos.io,No,,28.0,100.0,,,,,,,,,,,,,,No,Aún no necesitamos inversión. Operamos de forma independiente ,,,,,No,0.0,,,,41.40920391433752,2.1323134079664383
28/03/2023 9:23:31,Sí,Iki health,"39.63731722257117, 2.6321079352214483",6. Parque Balear de Innovación Tecnológica (ParcBit),www.iki.Health ,Sí,2022-11-29,53.0,0.0,No,,1200.0,17.0,14.0,,,,0.0,0.0,1.0,0.0,0.0,Sí,,1.0,"22/11/22, 15/03/23",Yes,150000.0,No,0.0,,1200.0,17.0,39.63731722257117,2.6321079352214483
28/03/2023 9:41:50,Sí,LUEIRA - Maladeta Studio,"42.70545935284816, 0.7855723686676253",2. Parc Científic i Tecnològic Agroalimentari de Lleida,https://lueira.com/,Ya estaba constituida,2022-03-15,68.0,500.0,,,,,,50000.0,12.0,10.0,0.0,1.0,0.0,0.0,0.0,No,"Hemos conseguido un ENISA y con esto aguantaremos hasta final de año, cuando seguramente abriremos ronda de financiación",,,,,Sí,2.0,['Lleida Startup'],12500.0,3.0,42.70545935284816,0.7855723686676253
28/03/2023 18:33:22,Sí,Southern Biorefinerry,"36.83604104694175, -2.4090688835668974",3. Málaga TechPark,https://southern-biorefinery.webnode.es/,Sí,2022-02-12,,,No,,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,Sí,,1.0,28/02/23,Yes,150000.0,Sí,3.0,"['Andalucia open future', 'Aptenisa Start', 'Startup Programmme']",0.0,0.0,36.83604104694175,-2.4090688835668974
